County,Code,Number
Adams,55001,0
Ashland,55003,0
Barron,55005,0
Bayfield,55007,0
Brown,55009,1
Buffalo,55011,0
Burnett,55013,0
Calumet,55015,0
Chippewa,55017,1
Clark,55019,0
Columbia,55021,0
Crawford,55023,0
Dane,55025,1
Dodge,55027,0
Door,55029,0
Douglas,55031,0
Dunn,55033,0
Eau Claire,55035,1
Florence,55037,0
Fond Du Lac,55039,2
Forest,55041,0
Grant,55043,1
Green,55045,0
Green Lake,55047,0
Iowa,55049,0
Iron,55051,0
Jackson,55053,0
Jefferson,55055,0
Juneau,55057,0
Kenosha,55059,0
Kewaunee,55061,0
La Crosse,55063,6
Lafayette,55065,0
Langlade,55067,0
Lincoln,55069,0
Manitowoc,55071,5
Marathon,55073,0
Marinette,55075,1
Marquette,55077,0
Menominee,55078,0
Milwaukee,55079,10
Monroe,55081,1
Oconto,55083,0
Oneida,55085,0
Outagamie,55087,2
Ozaukee,55089,2
Pepin,55091,0
Pierce,55093,0
Polk,55095,1
Portage,55097,0
Price,55099,0
Racine,55101,3
Richland,55103,0
Rock,55105,1
Rusk,55107,1
Saint Croix,55111,0
Sauk,55113,0
Sawyer,55115,0
Shawano,55117,0
Sheboygan,55109,2
Taylor,55119,0
Trempealeau,55121,1
Vernon,55123,1
Vilas,55125,0
Walworth,55127,1
Washburn,55129,0
Washington,55131,2
Waukesha,55133,13
Waupaca,55135,0
Waushara,55137,0
Winnebago,55139,1
Wood,55141,0
