County,Code,Number
Adams,55001,0
Ashland,55003,0
Barron,55005,0
Bayfield,55007,0
Brown,55009,0
Buffalo,55011,0
Burnett,55013,0
Calumet,55015,0
Chippewa,55017,0
Clark,55019,0
Columbia,55021,0
Crawford,55023,0
Dane,55025,10
Dodge,55027,2
Door,55029,1
Douglas,55031,0
Dunn,55033,0
Eau Claire,55035,0
Florence,55037,0
Fond Du Lac,55039,0
Forest,55041,1
Grant,55043,1
Green,55045,0
Green Lake,55047,0
Iowa,55049,0
Iron,55051,0
Jackson,55053,0
Jefferson,55055,0
Juneau,55057,0
Kenosha,55059,0
Kewaunee,55061,0
La Crosse,55063,0
Lafayette,55065,0
Langlade,55067,0
Lincoln,55069,0
Manitowoc,55071,7
Marathon,55073,0
Marinette,55075,0
Marquette,55077,0
Menominee,55078,0
Milwaukee,55079,21
Monroe,55081,0
Oconto,55083,0
Oneida,55085,1
Outagamie,55087,1
Ozaukee,55089,7
Pepin,55091,0
Pierce,55093,0
Polk,55095,0
Portage,55097,0
Price,55099,0
Racine,55101,1
Richland,55103,0
Rock,55105,1
Rusk,55107,0
Saint Croix,55111,0
Sauk,55113,0
Sawyer,55115,0
Shawano,55117,0
Sheboygan,55109,2
Taylor,55119,0
Trempealeau,55121,0
Vernon,55123,0
Vilas,55125,0
Walworth,55127,0
Washburn,55129,0
Washington,55131,1
Waukesha,55133,16
Waupaca,55135,0
Waushara,55137,0
Winnebago,55139,2
Wood,55141,1
